es,eng
de,of
que,that
no,not
a,a
la,the
el,the
y,Y
es,is
en,in
lo,it
un,a
por,for
qué,what
me,I
una,a
los,the
se,I know
te,tea
con,with
para,to
está,this
mi,me
pero,but
sí,Yeah
si,Yeah
bien,all right
eso,that
su,his
las,the
yo,I
del,of
como,What
aquí,here
tu,you
al,to the
más,more
le,you
esto,this
todo,everything
ya,Already
estoy,am
ahora,now
muy,very
ha,ha
esta,is
así,So
vamos,come on
algo,something
hay,there are
bueno,well
tengo,I've got
él,he
cuando,when
estás,these
sé,HE
tú,your
nos,us
nada,nothing
cómo,What
este,East
o,either
he,He
ser,to be
tiene,have
puedo,may l
ella,she
quiero,want
hacer,do
fue,it was
gracias,Thank you
vez,time
era,was
soy,am
sólo,only
todos,everyone
porque,why
son,They are
tienes,have
creo,believe
voy,I go
sabes,You know
estaba,was
puede,may
eres,are
ese,that
usted,you
entonces,then
hola,hello
solo,only
verdad,TRUE
casa,house
tan,so
quién,who
sus,their
tiempo,weather
dos,two
esa,that
nunca,never
dónde,where
va,goes
oh,Oh
favor,favor
mucho,much
mí,my
quieres,you want
siento,I feel
señor,mister
mejor,better
hace,does
has,you have
decir,say
también,too
sobre,upon
dios,God
sin,without
tenemos,we have
están,is it so
ti,you
puedes,you may
ver,watch
hombre,man
vida,life
alguien,somebody
cosas,stuff
siempre,forever
hasta,until
ahí,there
ir,go
años,years
antes,before
estar,be
ni,neither
poco,little bit
día,day
uno,one
noche,night
hecho,done
mis,my
estamos,we're
otra,other
acuerdo,agreement
trabajo,worked
nosotros,us
parece,It seems
gente,people
sea,be
padre,dad
mira,look
mismo,same
dijo,said
nadie,nobody
quiere,wants
podría,might
hablar,speak
vas,you go
ellos,them
sr.,Mr.
tal,such
pasa,happens
fuera,outside
después,after
han,they have
desde,since
dinero,money
mundo,world
claro,Clear
momento,moment
les,them
tener,have
estado,condition
otro,other
había,there was
mañana,morning
tenía,I had
madre,mother
vale,OK
lugar,place
haciendo,doing
donde,where
seguro,sure
sabe,knows
podemos,can
tus,your
espera,wait
nuevo,new
sido,been
cosa,stuff
hijo,son
allí,over there
menos,less
tipo,type
amigo,friend
gran,big
nuestro,our
mujer,women
mamá,breast
luego,later
papá,father
días,days
dice,He says
hoy,today
tres,three
buena,good
necesito,needed
dije,I said
oye,hears
gusta,like
quería,wanted
será,will be
haber,to have
parte,part
todas,all
crees,You believe
buen,good
conmigo,with me
nombre,Name
mierda,shit
nuestra,our
mal,wrong
debe,should
realmente,Really
estas,are
aún,still
mío,Own
toda,all
hacerlo,do it
cada,every
visto,viewed
importa,It matters
contigo,with you
tienen,have
hemos,we have
razón,reason
alguna,some
tanto,so much
saber,know
hizo,made
veces,times
serio,I laughed
ven,come
idea,idea
eh,Hey
tarde,late
problema,issue
hora,hour
cierto,certain
dicho,saying
quien,who
demasiado,too
amor,love
entre,Come in
ve,go
pasado,past
familia,family
estos,these
policía,police
debería,should
ustedes,you guys
chica,girl
esos,those
chicos,Boys
cuenta,bill
haces,you do
todavía,yet
salir,go out
algún,some
vaya,wow
unos,some
veo,I see
amigos,friends
hermano,brother
pensé,I thought
sabía,knew
cabeza,head
ah,ah
cariño,sweetie
digo,say
van,go
hombres,mens
buenas,good
somos,we are
cualquier,any
forma,form
mientras,While
lado,side
debo,I shall
sería,would
caso,case
pueden,may
pasó,He passed
primera,first
genial,cool
chico,guy
supuesto,supposed
hice,I made
pues,well
adiós,bye
muchas,many
personas,people
señora,Ms
volver,return
esas,those
quizá,Maybe
contra,against
camino,road
durante,during
hablando,speaking
manera,way
muerto,dead
persona,person
rápido,Quick
cuál,which
ayuda,help
historia,history
iba,I was going
supongo,i guess
nueva,new
entiendo,I get it
dentro,within
casi,almost
puerta,gate
ves,you see
pasar,happen
primero,first
significa,it means
semana,week
hacia,toward
quizás,maybe
espero,wait
juntos,together
año,year
niños,children
pronto,early
tío,uncle
suerte,luck
ciudad,town
siquiera,even
feliz,happy
venir,to come
hija,daughter
gustaría,would like
minutos,minutes
cuánto,how much
os,you
hey,Hey
muerte,death
dejar,let
realidad,reality
deja,leaves
problemas,problems
vi,saw
da,gives
importante,important
dijiste,said
corazón,heart
miedo,fear
jefe,chief
agua,Water
haré,I will do
justo,just
horas,hours
poder,can
buenos,good ones
esposa,wife
manos,hands
debes,you must
viene,comes
venga,come on
nuestros,our
ojos,eyes
adelante,forward
encontrar,meet
mano,hand
cinco,five
niño,kid
ninguna,none
otros,others
cara,face
cuidado,care
bajo,under
cerca,close
viejo,old
déjame,let me
noches,nights
bastante,pretty
fin,End
tomar,drink
único,unique
misma,same
escucha,listens
ningún,none
suficiente,enough
punto,point
cuándo,when
sigue,go on
haya,is
equipo,team
grande,great
necesita,needs to
llegar,to get
incluso,even
algunos,Some
doctor,doctor
difícil,hard
aunque,even though
hubiera,had
primer,first
coche,car
hago,I make
clase,class
cuatro,four
mas,more
dices,You say
pequeño,little
llama,call
toma,taking
hiciste,did
allá,there
última,last
arriba,above
tierra,Earth
guerra,war
pensar,think
pueda,I can
igual,same
loco,crazy
sangre,blood
mujeres,women
vuelta,return
fui,I was
trabajar,to work
tenido,Dyed
juego,match
deberías,you should
cuerpo,Body
e,and
algunas,some
entrar,get in
cree,Believe
podía,could
debemos,we must
oportunidad,chance
teléfono,phone
necesitamos,we need
final,final
listo,clever
fiesta,party
muchos,Many
estabas,You were
quieren,They want
vete,go away
auto,auto
dar,give
vivir,to live
posible,possible
ok,okay
hermana,sister
número,number
meses,months
exactamente,exactly
culpa,fault
abajo,bottom
escuela,school
ido,gone
fuerte,strong
diciendo,saying
habla,speaks
esté,East
ello,it
pregunta,Question
chicas,girls
eran,they were
unas,nail
pasando,going
atrás,behind
malo,bad
capitán,captain
sra.,mrs
bebé,baby
segundo,second
sabemos,we know
mayor,elderly
comida,food
morir,To die
conozco,know
dame,give to me
fácil,easy
comer,eat
vino,wine
lista,ready
haga,make
necesitas,you need
hijos,children
probablemente,probably
padres,parents
habitación,room
creer,believe
pensando,thinking
fueron,were
dime,tell me
trata,treats
buscando,searching
tuve,had
tampoco,either
amo,love
joven,young
podrías,could you
sola,alone
par,pair
única,only
hacen,make
seguir,follow up
dr.,Dr.
simplemente,simply
dicen,They say
medio,medium
puta,bitch
saben,They know
sentido,sense
hagas,you do
segura,safe
esperar,wait
lejos,far
arma,weapon
alto,high
pequeña,little
dólares,Dollars
seis,six
estaban,were
seguridad,security
maldita,damned
estuvo,he was
preocupes,worry
palabra,word
esperando,expecting
queda,is left over
oficina,office
matar,kill
iré,I will go
cama,bed
además,further
último,latest
oído,ear
habría,there would be
estará,will be
dio,it gave
recuerdo,I remember
siendo,being
acerca,about
tenga,have
luz,light
correcto,Right
ud.,You.
demonios,demons
nuestras,ours
verte,to see you
dormir,to sleep
sitio,place
ayudar,help
conseguir,get
di,gave